"time","nn.y[1]"
0,10.940544578525175
0,10.940544578525175
0,11.057892979518574
4,11.057892979518574
8,11.057892979518574
10,11.057892979518574
10,11.143595732829944
10.000000001100489,11.143595732829944
10.000000001100489,11.143595732829944
12,11.143595732829944
16,11.143595732829944
20,11.143595732829944
20,11.099527877420456
20.000000002100933,11.099527877420456
20.000000002100933,11.099527877420456
24,11.099527877420456
28,11.099527877420456
30,11.099527877420456
30,11.133205350936407
30.000000003100467,11.133205350936407
30.000000003100467,11.133205350936407
32,11.133205350936407
36,11.133205350936407
40,11.133205350936407
40,11.1687724818669
40.0000000041,11.1687724818669
40.0000000041,11.1687724818669
44,11.1687724818669
48,11.1687724818669
50,11.1687724818669
50,11.12635021934925
50.000000005100446,11.12635021934925
50.000000005100446,11.12635021934925
52,11.12635021934925
56,11.12635021934925
60,11.12635021934925
60,11.195074189515143
60.00000000610089,11.195074189515143
60.00000000610089,11.195074189515143
64,11.195074189515143
68,11.195074189515143
70,11.195074189515143
70,11.191032605516764
70.00000000710043,11.191032605516764
70.00000000710043,11.191032605516764
72,11.191032605516764
76,11.191032605516764
80,11.191032605516764
80,11.156615252386528
80.00000000810178,11.156615252386528
80.00000000810178,11.156615252386528
84,11.156615252386528
88,11.156615252386528
90,11.156615252386528
90,11.241769276431928
90.0000000091004,11.241769276431928
90.0000000091004,11.241769276431928
92,11.241769276431928
96,11.241769276431928
100,11.241769276431928
100,11.213149524336421
100.00000001010085,11.213149524336421
100.00000001010085,11.213149524336421
104,11.213149524336421
108,11.213149524336421
110,11.213149524336421
110,11.251738799852578
110.00000001110038,11.251738799852578
110.00000001110038,11.251738799852578
112,11.251738799852578
116,11.251738799852578
120,11.251738799852578
120,11.282800972924004
120.00000001210174,11.282800972924004
120.00000001210174,11.282800972924004
124,11.282800972924004
128,11.282800972924004
130,11.282800972924004
130,11.241850638877503
130.00000001310036,11.241850638877503
130.00000001310036,11.241850638877503
132,11.241850638877503
136,11.241850638877503
140,11.241850638877503
140,11.19063642911404
140.0000000141008,11.19063642911404
140.0000000141008,11.19063642911404
144,11.19063642911404
148,11.19063642911404
150,11.19063642911404
150,11.249149123901063
150.00000001510034,11.249149123901063
150.00000001510034,11.249149123901063
152,11.249149123901063
156,11.249149123901063
160,11.249149123901063
160,11.231186104943331
160.0000000161017,11.231186104943331
160.0000000161017,11.231186104943331
164,11.231186104943331
168,11.231186104943331
170,11.231186104943331
170,11.18555790334535
170.00000001710032,11.18555790334535
170.00000001710032,11.18555790334535
172,11.18555790334535
176,11.18555790334535
180,11.18555790334535
180,11.293034635069665
180.00000001810076,11.293034635069665
180.00000001810076,11.293034635069665
184,11.293034635069665
188,11.293034635069665
190,11.293034635069665
190,11.205702869072248
190.0000000191003,11.205702869072248
190.0000000191003,11.205702869072248
192,11.205702869072248
196,11.205702869072248
200,11.205702869072248
200,11.199409707838223
200.00000002010165,11.199409707838223
200.00000002010165,11.199409707838223
204,11.199409707838223
208,11.199409707838223
210,11.199409707838223
210,11.317192350695064
210.00000002110028,11.317192350695064
210.00000002110028,11.317192350695064
212,11.317192350695064
216,11.317192350695064
220,11.317192350695064
